dominant_fate_state	velocity_self_transition
inflammatory_regeneration_bridge	0.22980432
embryonic_like_plasticity_basin	0.2470346
embryonic_like_plasticity_basin	0.1292223
inflammatory_regeneration_bridge	0.16131537
inflammatory_regeneration_bridge	0.176072
tumor_plasticity_basin	0.15688054
tumor_plasticity_basin	0.0796794
embryonic_like_plasticity_basin	0.27523667
senescence_basin	0.053599626
inflammatory_regeneration_bridge	0.15478526
embryonic_like_plasticity_basin	0.14200118
senescence_basin	0.102086246
inflammatory_regeneration_bridge	0.2123838
inflammatory_regeneration_bridge	0.10700917
tumor_plasticity_basin	0.1119439
senescence_basin	0.096514314
senescence_basin	0.074202776
tumor_plasticity_basin	0.13923109
inflammatory_regeneration_bridge	0.0
inflammatory_regeneration_bridge	0.0
inflammatory_regeneration_bridge	0.15433964
embryonic_like_plasticity_basin	0.20536967
inflammatory_regeneration_bridge	0.10495889
tumor_plasticity_basin	0.11365527
inflammatory_regeneration_bridge	0.18872349
embryonic_like_plasticity_basin	0.17746961
embryonic_like_plasticity_basin	0.08422798
senescence_basin	0.22180866
embryonic_like_plasticity_basin	0.09972331
senescence_basin	0.14995125
tumor_plasticity_basin	0.091664374
inflammatory_regeneration_bridge	0.21835828
tumor_plasticity_basin	0.18412988
tumor_plasticity_basin	0.20115502
inflammatory_regeneration_bridge	0.0
senescence_basin	0.09646678
senescence_basin	0.24782129
embryonic_like_plasticity_basin	0.14858758
inflammatory_regeneration_bridge	0.20190346
tumor_plasticity_basin	0.101002365
tumor_plasticity_basin	0.15481232
embryonic_like_plasticity_basin	0.1184451
tumor_plasticity_basin	0.12585881
inflammatory_regeneration_bridge	0.2241492
embryonic_like_plasticity_basin	0.25005928
senescence_basin	0.20873971
inflammatory_regeneration_bridge	0.22623567
senescence_basin	0.19691226
embryonic_like_plasticity_basin	0.10695946
senescence_basin	0.1592923
inflammatory_regeneration_bridge	0.15634272
embryonic_like_plasticity_basin	0.2045756
embryonic_like_plasticity_basin	0.19622031
tumor_plasticity_basin	0.13494742
inflammatory_regeneration_bridge	0.08237988
senescence_basin	0.16438155
tumor_plasticity_basin	0.18045935
senescence_basin	0.22486484
senescence_basin	0.13819772
senescence_basin	0.17343749
tumor_plasticity_basin	0.095932126
embryonic_like_plasticity_basin	0.15031645
embryonic_like_plasticity_basin	0.20300676
senescence_basin	0.107500255
inflammatory_regeneration_bridge	0.23458387
senescence_basin	0.1697833
tumor_plasticity_basin	0.19325614
embryonic_like_plasticity_basin	0.12700686
tumor_plasticity_basin	0.19591844
tumor_plasticity_basin	0.12777433
inflammatory_regeneration_bridge	0.067204416
embryonic_like_plasticity_basin	0.11765891
tumor_plasticity_basin	0.112656
inflammatory_regeneration_bridge	0.18831995
tumor_plasticity_basin	0.04160297
inflammatory_regeneration_bridge	0.24256541
tumor_plasticity_basin	0.11889106
senescence_basin	0.11269504
tumor_plasticity_basin	0.09422743
senescence_basin	0.2241366
inflammatory_regeneration_bridge	0.17433059
senescence_basin	0.13974571
inflammatory_regeneration_bridge	0.2016184
tumor_plasticity_basin	0.04100573
embryonic_like_plasticity_basin	0.1415742
senescence_basin	0.06810501
tumor_plasticity_basin	0.1603187
senescence_basin	0.18381546
senescence_basin	0.11513004
senescence_basin	0.18939097
senescence_basin	0.17724349
tumor_plasticity_basin	0.20733453
tumor_plasticity_basin	0.10448119
