group	developmental_position
PAR 6h Veh	-0.4239777483867116
PAR 6h Veh	-0.4830271455082038
PAR 6h Veh	-0.4494226008344076
PAR 6h CD1530	-0.0284823148316063
PAR 6h CD1530	0.0122951180354722
PAR 6h CD1530	-0.0483709932714613
PAR 6h RA	0.2080098189450672
PAR 6h RA	0.1882379582438834
PAR 6h RA	0.0586340462701296
RARGKO 6h Veh	-0.6253977727668028
RARGKO 6h Veh	-0.5168206169044381
RARGKO 6h Veh	-0.5525514129544833
RARGKO 6h CD1530	-0.2970355343866795
RARGKO 6h CD1530	-0.1342893361374195
RARGKO 6h CD1530	-0.3040967895404643
RARGKO 6h RA	-0.0817208388575309
RARGKO 6h RA	-0.1526450069746124
RARGKO 6h RA	-0.2335986444752811
PAR 48h Veh	-0.1756850883035497
PAR 48h Veh	-0.0624369380687717
PAR 48h Veh	-0.0424706179356237
PAR 48h CD1530	0.3433541502494581
PAR 48h CD1530	0.168697819796612
PAR 48h CD1530	0.1603719833667584
PAR 48h RA	0.7973866611238963
PAR 48h RA	0.7411667129237579
PAR 48h RA	0.7997512884992283
RARGKO 48h Veh	-0.0984122009666194
RARGKO 48h Veh	-0.1412416380424179
RARGKO 48h Veh	-0.0874719147068024
RARGKO 48h CD1530	0.1868348368372604
RARGKO 48h CD1530	0.0359824111442887
RARGKO 48h CD1530	0.1352184417594233
RARGKO 48h RA	0.4028044426815476
RARGKO 48h RA	0.2412628351748705
RARGKO 48h RA	0.4591466288021943
