group	ra_position_output	developmental_position	canonical_wnt_output	bmp_smad_output	stemness_maintenance
PAR 6h CD1530	0.38183783353262185	-0.021519396689198462	-0.2365987078925842	0.151580000388462	0.014837264743806386
PAR 6h RA	0.7678999287333909	0.15162727448636007	-0.20376133763728257	0.27861751698376785	-0.2618053851333501
PAR 6h Veh	-0.3730180411064838	-0.45214249824310765	-0.0541227244253592	0.2933250177858479	0.1046031460310521
PAR 48h CD1530	0.3498935613388146	0.22414131780427615	-0.4338884001209166	0.15487536241027747	-0.1476601619489174
PAR 48h RA	1.2630419472359105	0.7794348875156275	-0.6579677599977453	0.15615948241545816	-0.5067416774668979
PAR 48h Veh	-0.1541555088258503	-0.0935308814359817	-0.2592920160890835	0.6210337758792716	-0.04391407658500013
RARGKO 6h CD1530	-0.5171049530786885	-0.24514055335485443	0.2097490214851855	-0.39999343647790364	0.12829115045484216
RARGKO 6h RA	-0.39916723655951825	-0.15598816343580812	0.6483877342803932	-0.39803018439119436	0.4009413206999782
RARGKO 6h Veh	-1.0124731616982854	-0.564923267541908	0.2598145799264394	-0.42211962051890506	0.2747788209706458
RARGKO 48h CD1530	-0.10036250061003955	0.11934522991365747	0.22922604328585786	-0.23733132916963853	-0.027401096180919834
RARGKO 48h RA	0.28353801318449007	0.36773796888620414	0.18743734816025673	-0.3615652919589267	-0.013673429492137033
RARGKO 48h Veh	-0.4899298821463615	-0.10904191790527991	0.3110162190248207	0.1634487066534977	0.07774412390687303
