tumor_like_quartile	differentiation_score
other tumor cells	1.1941472041754073
other tumor cells	-0.1985385094159915
top tumor-like quartile	-0.4026733210057388
other tumor cells	-0.26436417191116895
top tumor-like quartile	-0.1991516160376278
other tumor cells	0.7020829871848778
other tumor cells	-0.23993647540057148
other tumor cells	-0.15327901310390896
other tumor cells	-0.2722237198441117
other tumor cells	-0.16955382735640914
other tumor cells	-0.39947654214906103
other tumor cells	-0.2779169435854311
top tumor-like quartile	-0.283534038214036
top tumor-like quartile	-0.10918643739488393
other tumor cells	0.3517783070787972
top tumor-like quartile	-0.017132037951622492
top tumor-like quartile	-0.16596359971128863
other tumor cells	-0.08456586319723247
top tumor-like quartile	-0.3050078168327426
other tumor cells	0.02244954933354884
top tumor-like quartile	-0.17873195659967117
other tumor cells	-0.10803114337685665
other tumor cells	-0.1854436191511743
top tumor-like quartile	-0.12231280185558177
other tumor cells	-0.1790236367119683
other tumor cells	-0.14891100812841346
top tumor-like quartile	-0.31236714492609474
other tumor cells	-0.2642494955180604
other tumor cells	0.8429625358110593
top tumor-like quartile	-0.2978073402687355
other tumor cells	-0.1848353883366526
other tumor cells	-0.10514719397933392
other tumor cells	-0.13922364034770449
other tumor cells	-0.2979244420557846
other tumor cells	-0.2871506537920163
other tumor cells	-0.23755389084050685
top tumor-like quartile	-0.0244295597076416
other tumor cells	-0.18143332446063007
other tumor cells	-0.4298553937747155
other tumor cells	-0.08274399204018676
other tumor cells	-0.2847203384211034
other tumor cells	-0.17175121071897906
top tumor-like quartile	0.3063622404027868
other tumor cells	-0.2692698961422767
other tumor cells	-0.2240065821894893
other tumor cells	-0.21783572067449122
other tumor cells	-0.2871179462950907
other tumor cells	-0.26971525027428145
other tumor cells	-0.3380079078085628
other tumor cells	-0.2384394657464675
other tumor cells	-0.1487781736585829
other tumor cells	-0.19200994938979915
other tumor cells	-0.2811399389196325
top tumor-like quartile	-0.16138482829670847
other tumor cells	-0.00881959773876051
top tumor-like quartile	-0.2879858841130763
other tumor cells	-0.17813825018611956
top tumor-like quartile	-0.30512746175130206
other tumor cells	-0.06571632844430425
top tumor-like quartile	-0.17544384650242184
top tumor-like quartile	-0.17152545187208387
top tumor-like quartile	-0.25072721640268963
other tumor cells	-0.21909221602074894
other tumor cells	0.0791185873526114
other tumor cells	-0.061911103166179926
other tumor cells	-0.0737948829745069
other tumor cells	-0.17737221423490548
top tumor-like quartile	0.03573332598179946
top tumor-like quartile	-0.08530599099618413
other tumor cells	-0.1083359365110044
other tumor cells	-0.17294174947856386
other tumor cells	-0.25917769067081403
other tumor cells	-0.10966558073773797
top tumor-like quartile	-0.15798280857227467
other tumor cells	1.205691631929374
top tumor-like quartile	0.5760307547486858
other tumor cells	-0.022651551682272064
top tumor-like quartile	0.267191904562491
other tumor cells	-0.16170980017862202
top tumor-like quartile	-0.11605049651346089
top tumor-like quartile	0.09337470266554093
other tumor cells	0.13214764477294166
other tumor cells	-0.008228225472532658
other tumor cells	-0.27700172235936293
other tumor cells	-0.32271112041708866
other tumor cells	0.08498021114019699
other tumor cells	-0.3851324952678916
other tumor cells	-0.06344732090278907
top tumor-like quartile	0.009042192388463904
other tumor cells	-0.16605175866021052
top tumor-like quartile	0.3133802826021925
other tumor cells	-0.2712218673140914
other tumor cells	-0.22581350067515432
other tumor cells	-0.22957870106638215
other tumor cells	-0.15677513310938707
other tumor cells	-0.3284784967516675
other tumor cells	-0.1773519398253641
other tumor cells	-0.229829482090326
other tumor cells	-0.22568474286868248
other tumor cells	-0.004136647707150304
other tumor cells	-0.06550214025709367
top tumor-like quartile	-0.23191674108858462
top tumor-like quartile	-0.2700503313982928
other tumor cells	-0.23417140819408278
other tumor cells	-0.10083599296616921
other tumor cells	-0.23831445199471932
top tumor-like quartile	-0.1848005748089449
top tumor-like quartile	-0.14806191126505533
other tumor cells	-0.06867907665393971
other tumor cells	-0.16990319004765264
other tumor cells	-0.27880404907980083
top tumor-like quartile	-0.2161524737322772
top tumor-like quartile	-0.16659366348643362
other tumor cells	-0.26907913773148145
top tumor-like quartile	-0.3131100925398462
other tumor cells	-0.2175227271185981
other tumor cells	-0.13868609769844714
top tumor-like quartile	-0.10641930132736394
top tumor-like quartile	-0.19054831987545814
top tumor-like quartile	-0.11293662624594605
other tumor cells	-0.09616082538793119
other tumor cells	-0.26468288751296054
other tumor cells	0.7816970377792547
other tumor cells	-0.30295369654525944
other tumor cells	-0.004657536377141502
other tumor cells	-0.35937398745689864
other tumor cells	-0.16310141999044536
top tumor-like quartile	-0.17338602631180375
other tumor cells	-0.12920729760770444
other tumor cells	-0.3013166498254847
top tumor-like quartile	-0.10613638089026933
other tumor cells	-0.15199864940878785
other tumor cells	-0.33601301687735097
other tumor cells	0.26195002779548554
other tumor cells	-0.18785165857385705
other tumor cells	-0.2597432548617139
other tumor cells	-0.24628768732518325
other tumor cells	-0.14356914861702624
other tumor cells	-0.06270957287446949
other tumor cells	-0.1529168744146088
other tumor cells	-0.08703331299770029
other tumor cells	-0.29149097866482204
top tumor-like quartile	-0.008388001241801668
other tumor cells	-0.272643995873722
top tumor-like quartile	-0.29244571261935765
top tumor-like quartile	-0.2501225368476208
other tumor cells	-0.23002379617573301
other tumor cells	-0.17516289081102537
other tumor cells	-0.11261929406060113
other tumor cells	-0.0025173469826026973
other tumor cells	-0.19192980542595003
top tumor-like quartile	-0.1807477444778254
other tumor cells	-0.12766849700315497
other tumor cells	-0.24266108760127314
other tumor cells	-0.2883571577660831
other tumor cells	-0.1800011528862847
other tumor cells	0.10793279129781841
other tumor cells	-0.1726279553071952
top tumor-like quartile	1.3194931407033663
top tumor-like quartile	-0.27712376912434894
other tumor cells	-0.08231122111096792
other tumor cells	-0.2392765798686463
top tumor-like quartile	-0.1970036353593991
top tumor-like quartile	-0.15530375492425613
other tumor cells	-0.26626502143012154
other tumor cells	0.3347719510396322
other tumor cells	-0.3232508294376326
other tumor cells	-0.1775141704229661
other tumor cells	-0.18354464165958356
top tumor-like quartile	-0.18955938315685886
other tumor cells	0.03473188847671321
top tumor-like quartile	-0.2348700276127568
top tumor-like quartile	-0.3061644471721885
top tumor-like quartile	1.5106289357314875
other tumor cells	-0.2622252099307967
top tumor-like quartile	-0.27577155313374085
other tumor cells	-0.21475238564573687
other tumor cells	-0.1401264755814164
other tumor cells	-0.2549730230260778
other tumor cells	-0.2661110677836854
other tumor cells	0.04631712407241634
other tumor cells	0.13283547059989265
other tumor cells	-0.1316242541795895
top tumor-like quartile	-0.28603186430754485
other tumor cells	0.19557946699636955
top tumor-like quartile	-0.2925597767771026
other tumor cells	-0.23649116798683448
other tumor cells	-0.1723313037260079
other tumor cells	-0.18451463440318167
other tumor cells	0.006289873594119227
other tumor cells	-0.09143938105783342
other tumor cells	-0.1802190262594341
other tumor cells	0.01826619807584784
other tumor cells	-0.19599964000560618
other tumor cells	-0.36605578293035057
other tumor cells	-0.25214338891300153
other tumor cells	-0.16640960287164758
other tumor cells	-0.3654314441445433
