tumor_like_group	boundary_score	score	comparison_scope	quartile_threshold_tumor_only	n_top_tumor_like	n_other_tumor_cells	cohen_d_top_vs_other_embryonic_like	q_top_vs_other_embryonic_like	p_top_vs_other_embryonic_like	cohen_d_top_vs_other_inflammatory_repair	q_top_vs_other_inflammatory_repair	p_top_vs_other_inflammatory_repair
other tumor cells	embryonic_like_score	0.1129224864804015	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.059018262551755324	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
top tumor-like	embryonic_like_score	-0.26399069416279697	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
top tumor-like	embryonic_like_score	0.0	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.1810396856191207	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.46728216482668505	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	-0.14225990918217873	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.23435555526188442	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	-0.060452114562599024	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
top tumor-like	embryonic_like_score	0.22209989100086444	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.11316269757796307	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.30226652670879756	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	-0.2024579534725267	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
top tumor-like	embryonic_like_score	-0.10349265896544164	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
top tumor-like	embryonic_like_score	0.29924653890181563	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
other tumor cells	embryonic_like_score	0.19109277044023787	Tumor cells only	0.8001459848313104	469	1406	-0.022678456059273117	0.1948696555716093	0.1948696555716093	-0.10960085228783907	0.12531291035301123	0.06265645517650562
