assigned_regime	posterior_regime	mean_posterior_probability
adult_repair	adult_repair	0.7805828359696967
adult_repair	embryonic_reactivation	0.08015248612082113
adult_repair	salamander_blastema	0.002711837677587317
adult_repair	salamander_intact	0.13655284023189487
embryonic_reactivation	adult_repair	0.05528948761864937
embryonic_reactivation	embryonic_reactivation	0.8332573436817058
embryonic_reactivation	salamander_blastema	0.0440672706391079
embryonic_reactivation	salamander_intact	0.06738589806053692
salamander_blastema	adult_repair	0.00011971904573154695
salamander_blastema	embryonic_reactivation	0.10374452160075684
salamander_blastema	salamander_blastema	0.8222796857727475
salamander_blastema	salamander_intact	0.07385607358076424
salamander_intact	adult_repair	0.08643317462093343
salamander_intact	embryonic_reactivation	0.041261171838838116
salamander_intact	salamander_blastema	0.025559310492100397
salamander_intact	salamander_intact	0.846746343048128
