level	pathway	target_gene	dataset_id	member_role	expected_alias	activation_orientation	n_member_genes	n_target_cells	n_baseline_cells	evidence_status	raw_delta_locked_adult_repair	activation_delta_locked_adult_repair	raw_delta_locked_embryonic_reactivation	activation_delta_locked_embryonic_reactivation	raw_delta_locked_salamander_blastema	activation_delta_locked_salamander_blastema	raw_delta_locked_salamander_intact	activation_delta_locked_salamander_intact	raw_delta_stemness_like	activation_delta_stemness_like	raw_delta_transitional	activation_delta_transitional	raw_delta_fate_lock	activation_delta_fate_lock	raw_delta_embryonic_blastema_like	activation_delta_embryonic_blastema_like	activation_shift_magnitude_L2_locked	activation_expected_shift	activation_expected_shift_direction
pathway_aggregate	RA	PBX3;RARA;RARG;RXRA	GSE216800	canonical_activator_or_cofactor	embryonic_blastema_like	cell_level_target_gene_delta_reversed_to_pathway_activation_direction	4	1554	49198	computed_from_existing_cell_level_pathway_member_perturbations	0.0384225517389955	-0.0384225517389955	-0.07708923849615623	0.07708923849615623	-0.020604626658556887	0.020604626658556887	0.059271313415717584	-0.059271313415717584	0.059271313415717584	-0.059271313415717584	0.0384225517389955	-0.0384225517389955	-0.07708923849615623	0.07708923849615623	-0.020604626658556887	0.020604626658556887	0.10656773624233452	0.020604626658556887	increase
pathway_aggregate	BMP	ID2;ID3;SMAD1;SMAD3	GSE216800	canonical_activator_or_downstream_effector	fate_lock	cell_level_target_gene_delta_reversed_to_pathway_activation_direction	4	1252	49198	computed_from_existing_cell_level_pathway_member_perturbations	0.05240032741546235	-0.05240032741546235	-0.11189928272255734	0.11189928272255734	-0.017768762617471796	0.017768762617471796	0.07726771792456676	-0.07726771792456676	0.07726771792456676	-0.07726771792456676	0.05240032741546235	-0.05240032741546235	-0.11189928272255734	0.11189928272255734	-0.017768762617471796	0.017768762617471796	0.14681032983171502	0.11189928272255734	increase
pathway_aggregate	NOTCH	RBPJ	GSE216800	canonical_activator_or_downstream_effector	transitional	cell_level_target_gene_delta_reversed_to_pathway_activation_direction	1	6770	49198	computed_single_member_or_low_coverage_pathway_proxy	-0.018902947678167276	0.018902947678167276	-0.03372338741293279	0.03372338741293279	0.03151860954461508	-0.03151860954461508	0.021107725546484934	-0.021107725546484934	0.021107725546484934	-0.021107725546484934	-0.018902947678167276	0.018902947678167276	-0.03372338741293279	0.03372338741293279	0.03151860954461508	-0.03151860954461508	0.05416222959681328	0.018902947678167276	increase
pathway_aggregate	FGF	ETV6	GSE216800	partial_proxy_downstream_effector	stemness_like	cell_level_target_gene_delta_reversed_to_pathway_activation_direction	1	484	49198	computed_single_member_or_low_coverage_pathway_proxy	0.018973905494610976	-0.018973905494610976	-0.06461854681535184	0.06461854681535184	-0.016783576022703306	0.016783576022703306	0.062428217343444115	-0.062428217343444115	0.062428217343444115	-0.062428217343444115	0.018973905494610976	-0.018973905494610976	-0.06461854681535184	0.06461854681535184	-0.016783576022703306	0.016783576022703306	0.09335168143657833	-0.062428217343444115	decrease_or_zero
pathway_aggregate	SHH	GLIS1	GSE216800	partial_proxy_downstream_effector	stemness_like	cell_level_target_gene_delta_reversed_to_pathway_activation_direction	1	583	49198	computed_single_member_or_low_coverage_pathway_proxy	0.04100006304137346	-0.04100006304137346	-0.134477333064424	0.134477333064424	-0.016568055308416374	0.016568055308416374	0.11004532533146683	-0.11004532533146683	0.11004532533146683	-0.11004532533146683	0.04100006304137346	-0.04100006304137346	-0.134477333064424	0.134477333064424	-0.016568055308416374	0.016568055308416374	0.17930318558666977	-0.11004532533146683	decrease_or_zero
target_gene	RA	PBX3	GSE216800	canonical_activator_or_cofactor	embryonic_blastema_like	reverse_of_target_gene_perturbation_for_canonical_activation	1	508	49198	computed_single_member_or_low_coverage_pathway_proxy	0.03030633128227414	-0.03030633128227414	-0.09620294173086158	0.09620294173086158	-0.017472109129579076	0.017472109129579076	0.08336871957816655	-0.08336871957816655	0.08336871957816655	-0.08336871957816655	0.03030633128227414	-0.03030633128227414	-0.09620294173086158	0.09620294173086158	-0.017472109129579076	0.017472109129579076	0.13201930811438675	0.017472109129579076	increase
target_gene	RA	RARA	GSE216800	canonical_activator_or_cofactor	embryonic_blastema_like	reverse_of_target_gene_perturbation_for_canonical_activation	1	207	49198	computed_single_member_or_low_coverage_pathway_proxy	0.0014448823788043852	-0.0014448823788043852	-0.04549159331923919	0.04549159331923919	-0.01944813078819998	0.01944813078819998	0.06349484172863473	-0.06349484172863473	0.06349484172863473	-0.06349484172863473	0.0014448823788043852	-0.0014448823788043852	-0.04549159331923919	0.04549159331923919	-0.01944813078819998	0.01944813078819998	0.08050712679701676	0.01944813078819998	increase
target_gene	RA	RARG	GSE216800	canonical_activator_or_cofactor	embryonic_blastema_like	reverse_of_target_gene_perturbation_for_canonical_activation	1	434	49198	computed_single_member_or_low_coverage_pathway_proxy	0.05583464367759658	-0.05583464367759658	-0.07683883987498225	0.07683883987498225	-0.0248383689537168	0.0248383689537168	0.045842565151102355	-0.045842565151102355	0.045842565151102355	-0.045842565151102355	0.05583464367759658	-0.05583464367759658	-0.07683883987498225	0.07683883987498225	-0.0248383689537168	0.0248383689537168	0.10835220394551909	0.0248383689537168	increase
target_gene	RA	RXRA	GSE216800	canonical_activator_or_cofactor	embryonic_blastema_like	reverse_of_target_gene_perturbation_for_canonical_activation	1	405	49198	computed_single_member_or_low_coverage_pathway_proxy	0.048843711364232906	-0.048843711364232906	-0.06953275531092418	0.06953275531092418	-0.020588007877779625	0.020588007877779625	0.04127705182447089	-0.04127705182447089	0.04127705182447089	-0.04127705182447089	0.048843711364232906	-0.048843711364232906	-0.06953275531092418	0.06953275531092418	-0.020588007877779625	0.020588007877779625	0.09668595180612807	0.020588007877779625	increase
target_gene	BMP	ID2	GSE216800	canonical_activator_or_downstream_effector	fate_lock	reverse_of_target_gene_perturbation_for_canonical_activation	1	375	49198	computed_single_member_or_low_coverage_pathway_proxy	0.02901749801475001	-0.02901749801475001	-0.06595268740852228	0.06595268740852228	-0.005299110590748432	0.005299110590748432	0.04223429998452066	-0.04223429998452066	0.04223429998452066	-0.04223429998452066	0.02901749801475001	-0.02901749801475001	-0.06595268740852228	0.06595268740852228	-0.005299110590748432	0.005299110590748432	0.08368744730052255	0.06595268740852228	increase
target_gene	BMP	ID3	GSE216800	canonical_activator_or_downstream_effector	fate_lock	reverse_of_target_gene_perturbation_for_canonical_activation	1	197	49198	computed_single_member_or_low_coverage_pathway_proxy	0.05814700983911891	-0.05814700983911891	-0.13207956495143752	0.13207956495143752	-0.03212901229880834	0.03212901229880834	0.10606156741112693	-0.10606156741112693	0.10606156741112693	-0.10606156741112693	0.05814700983911891	-0.05814700983911891	-0.13207956495143752	0.13207956495143752	-0.03212901229880834	0.03212901229880834	0.18195443315290122	0.13207956495143752	increase
target_gene	BMP	SMAD1	GSE216800	canonical_activator_or_downstream_effector	fate_lock	reverse_of_target_gene_perturbation_for_canonical_activation	1	354	49198	computed_single_member_or_low_coverage_pathway_proxy	0.058257360145416826	-0.058257360145416826	-0.13959546041728732	0.13959546041728732	-0.018802146628902013	0.018802146628902013	0.10014024690077239	-0.10014024690077239	0.10014024690077239	-0.10014024690077239	0.058257360145416826	-0.058257360145416826	-0.13959546041728732	0.13959546041728732	-0.018802146628902013	0.018802146628902013	0.1823798298810195	0.13959546041728732	increase
target_gene	BMP	SMAD3	GSE216800	canonical_activator_or_downstream_effector	fate_lock	reverse_of_target_gene_perturbation_for_canonical_activation	1	326	49198	computed_single_member_or_low_coverage_pathway_proxy	0.06946497465902948	-0.06946497465902948	-0.12248213775243255	0.12248213775243255	-0.022312726981740694	0.022312726981740694	0.07532989007514379	-0.07532989007514379	0.07532989007514379	-0.07532989007514379	0.06946497465902948	-0.06946497465902948	-0.12248213775243255	0.12248213775243255	-0.022312726981740694	0.022312726981740694	0.1612442460892184	0.12248213775243255	increase
target_gene	NOTCH	RBPJ	GSE216800	canonical_activator_or_downstream_effector	transitional	reverse_of_target_gene_perturbation_for_canonical_activation	1	6770	49198	computed_single_member_or_low_coverage_pathway_proxy	-0.018902947678167276	0.018902947678167276	-0.03372338741293279	0.03372338741293279	0.03151860954461508	-0.03151860954461508	0.021107725546484934	-0.021107725546484934	0.021107725546484934	-0.021107725546484934	-0.018902947678167276	0.018902947678167276	-0.03372338741293279	0.03372338741293279	0.03151860954461508	-0.03151860954461508	0.05416222959681328	0.018902947678167276	increase
target_gene	FGF	ETV6	GSE216800	partial_proxy_downstream_effector	stemness_like	reverse_of_target_gene_perturbation_for_canonical_activation	1	484	49198	computed_single_member_or_low_coverage_pathway_proxy	0.018973905494610976	-0.018973905494610976	-0.06461854681535184	0.06461854681535184	-0.016783576022703306	0.016783576022703306	0.062428217343444115	-0.062428217343444115	0.062428217343444115	-0.062428217343444115	0.018973905494610976	-0.018973905494610976	-0.06461854681535184	0.06461854681535184	-0.016783576022703306	0.016783576022703306	0.09335168143657833	-0.062428217343444115	decrease_or_zero
target_gene	SHH	GLIS1	GSE216800	partial_proxy_downstream_effector	stemness_like	reverse_of_target_gene_perturbation_for_canonical_activation	1	583	49198	computed_single_member_or_low_coverage_pathway_proxy	0.04100006304137346	-0.04100006304137346	-0.134477333064424	0.134477333064424	-0.016568055308416374	0.016568055308416374	0.11004532533146683	-0.11004532533146683	0.11004532533146683	-0.11004532533146683	0.04100006304137346	-0.04100006304137346	-0.134477333064424	0.134477333064424	-0.016568055308416374	0.016568055308416374	0.17930318558666977	-0.11004532533146683	decrease_or_zero
