pathway	latent_regime	observed_deltaZ	global_W_predicted_deltaZ	global_abs_error	global_sign_alignment	counterfactual_bias_CZ	regime_bias_CZ_LOO	regime_conditioned_predicted_deltaZ_LOO	regime_conditioned_abs_error_LOO	regime_conditioned_sign_alignment_LOO	within_regime_cosine_global_W	within_regime_cosine_regime_conditioned_LOO
RA	adult_repair	-0.0384225517389955	0.0703061509033024	0.1087287026422979	False	-0.1087287026422979	-0.057160608390554875	0.013145542512747528	0.05156809425174303	False	-0.26837916467966083	0.319852416988121
RA	embryonic_reactivation	0.0770892384961562	-0.0722767841815082	0.1493660226776644	False	0.1493660226776644	0.12171856208342258	0.04944177790191438	0.02764746059424182	True	-0.3286197020366118	0.8146408126493176
RA	salamander_blastema	0.0206046266585568	-0.0002490177528213	0.0208536444113781	False	0.0208536444113781	0.004802250976637349	0.004553233223816049	0.01605139343474075	True	-0.17234441902299324	-0.17396047233639014
RA	salamander_intact	-0.0592713134157175	0.0022196510310269	0.0614909644467444	False	-0.0614909644467444	-0.0693602046695047	-0.06714055363847779	0.007869240222760289	True	-0.45764230139982226	0.8701641127206539
BMP	adult_repair	-0.0524003274154623	0.0095159382449147	0.061916265660377	False	-0.061916265660377	-0.06886371763603509	-0.05934777939112039	0.006947451975658089	True	-0.26837916467966083	0.319852416988121
BMP	embryonic_reactivation	0.1118992827225573	-0.016498707345406	0.1283979900679633	False	0.1283979900679633	0.12696057023584786	0.11046186289044187	0.0014374198321154275	True	-0.3286197020366118	0.8146408126493176
BMP	salamander_blastema	0.0177687626174717	0.0004560715731713	0.017312691044300398	True	0.017312691044300398	0.0056874893184067745	0.0061435608915780746	0.011625201725893625	True	-0.17234441902299324	-0.17396047233639014
BMP	salamander_intact	-0.0772677179245667	0.0065266975273197	0.0837944154518864	False	-0.0837944154518864	-0.0637843419182192	-0.057257644390899504	0.020010073533667197	True	-0.45764230139982226	0.8701641127206539
NOTCH	adult_repair	0.0189029476781672	0.0238456819802839	0.0049427343021167	True	-0.0049427343021167	-0.08310710047560017	-0.05926141849531627	0.07816436617348346	False	-0.26837916467966083	0.319852416988121
NOTCH	embryonic_reactivation	0.0337233874129327	-0.0246758704028904	0.0583992578158231	False	0.0583992578158231	0.1444602532988829	0.1197843828959925	0.08606099548305979	True	-0.3286197020366118	0.8146408126493176
NOTCH	salamander_blastema	-0.031518609544615	0.000155485599303	0.031674095143918	False	-0.031674095143918	0.017934185865461374	0.018089671464764374	0.049608281009379376	False	-0.17234441902299324	-0.17396047233639014
NOTCH	salamander_intact	-0.0211077255464849	0.0006747028233031	0.021782428369788	False	-0.021782428369788	-0.0792873386887438	-0.07861263586544069	0.05750491031895579	True	-0.45764230139982226	0.8701641127206539
FGF	adult_repair	-0.0189739054946109	0.1459395427799034	0.1649134482745143	False	-0.1649134482745143	-0.043114421982500775	0.10282512079740262	0.12179902629201353	False	-0.26837916467966083	0.319852416988121
FGF	embryonic_reactivation	0.0646185468153518	-0.1466390905698082	0.21125763738516	False	0.21125763738516	0.10624565840654868	-0.040393432163259524	0.10501197897861132	False	-0.3286197020366118	0.8146408126493176
FGF	salamander_blastema	0.0167835760227033	-0.0003820640529273	0.0171656400756306	False	0.0171656400756306	0.0057242520605742244	0.005342188007646924	0.011441388015056375	True	-0.17234441902299324	-0.17396047233639014
FGF	salamander_intact	-0.0624282173434441	0.0010816118428319	0.063509829186276	False	-0.063509829186276	-0.06885548848462181	-0.06777387664178991	0.005345659298345809	True	-0.45764230139982226	0.8701641127206539
SHH	adult_repair	-0.0410000630413734	-0.0441300777161619	0.0031300146747884963	True	0.0031300146747884963	-0.08512528771982647	-0.12925536543598837	0.08825530239461496	True	-0.26837916467966083	0.319852416988121
SHH	embryonic_reactivation	0.134477333064424	0.0456579699996801	0.08881936306474389	True	0.08881936306474389	0.1368552269866527	0.1825131969863328	0.04803586392190881	True	-0.3286197020366118	0.8146408126493176
SHH	salamander_blastema	0.0165680553084163	0.0001632873778799	0.016404767930536402	True	0.016404767930536402	0.0059144700968477735	0.0060777574747276734	0.010490297833688628	True	-0.17234441902299324	-0.17396047233639014
SHH	salamander_intact	-0.1100453253314668	-0.0016911796613984	0.1083541456700684	True	-0.1083541456700684	-0.057644409363673696	-0.0593355890250721	0.0507097363063947	True	-0.45764230139982226	0.8701641127206539
